elapsed_s,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,ACCELERATOR_PEDAL_POSITION_D,ACCELERATOR_PEDAL_POSITION_E,COMMANDED_THROTTLE_ACTUATOR,INTAKE_AIR_TEMPERATURE,TIMING_ADVANCE,CONTROL_MODULE_VOLTAGE
150,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,105.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
151,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
152,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
153,910.0,0.0,20.392156862745097,49.41176470588236,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
154,910.0,0.0,20.392156862745097,49.41176470588236,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
155,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
156,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
157,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
158,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
159,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,105.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
160,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,105.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
161,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
162,910.0,0.0,20.392156862745097,49.80392156862745,107.0,-9.375,0.0,104.0,16.07843137254902,31.764705882352946,20.392156862745097,53.0,3.5,13.5
